Month,Product,Sales,year,month,month_sin,month_cos,seasonal,seasonal_Product
2019-08-01,ProductB,234,2019,8,-0.8660254037844385,-0.5000000000000004,2127.16550925926,2127.16550925926
2019-09-01,ProductB,112,2019,9,-1.0,-1.8369701987210297e-16,-3342.4386574074074,-3342.4386574074074
2019-10-01,ProductB,178,2019,10,-0.8660254037844386,0.5000000000000001,-1690.188657407407,-1690.188657407407
2019-11-01,ProductB,173,2019,11,-0.5000000000000004,0.8660254037844384,-1384.1261574074074,-1384.1261574074074
2019-12-01,ProductB,126,2019,12,-2.4492935982947064e-16,1.0,1655.0405092592587,1655.0405092592587
2020-01-01,ProductB,28,2020,1,0.49999999999999994,0.8660254037844387,-2918.792824074074,-2918.792824074074
2020-02-01,ProductB,56,2020,2,0.8660254037844386,0.5000000000000001,708.4571759259267,708.4571759259267
2020-03-01,ProductB,168,2020,3,1.0,6.123233995736766e-17,-2435.4594907407404,-2435.4594907407404
2020-04-01,ProductB,576,2020,4,0.8660254037844387,-0.4999999999999998,-3413.042824074075,-3413.042824074075
2020-05-01,ProductB,1786,2020,5,0.49999999999999994,-0.8660254037844387,483.7071759259259,483.7071759259259
2020-06-01,ProductB,3067,2020,6,1.2246467991473532e-16,-1.0,4570.665509259259,4570.665509259259
2020-07-01,ProductB,2208,2020,7,-0.4999999999999997,-0.8660254037844388,5639.012731481482,5639.012731481482
2020-08-01,ProductB,4014,2020,8,-0.8660254037844385,-0.5000000000000004,2127.16550925926,2127.16550925926
2020-09-01,ProductB,2935,2020,9,-1.0,-1.8369701987210297e-16,-3342.4386574074074,-3342.4386574074074
2020-10-01,ProductB,2574,2020,10,-0.8660254037844386,0.5000000000000001,-1690.188657407407,-1690.188657407407
2020-11-01,ProductB,3404,2020,11,-0.5000000000000004,0.8660254037844384,-1384.1261574074074,-1384.1261574074074
2020-12-01,ProductB,8188,2020,12,-2.4492935982947064e-16,1.0,1655.0405092592587,1655.0405092592587
2021-01-01,ProductB,6472,2021,1,0.49999999999999994,0.8660254037844387,-2918.792824074074,-2918.792824074074
2021-02-01,ProductB,16860,2021,2,0.8660254037844386,0.5000000000000001,708.4571759259267,708.4571759259267
2021-03-01,ProductB,6678,2021,3,1.0,6.123233995736766e-17,-2435.4594907407404,-2435.4594907407404
2021-04-01,ProductB,2570,2021,4,0.8660254037844387,-0.4999999999999998,-3413.042824074075,-3413.042824074075
2021-05-01,ProductB,12456,2021,5,0.49999999999999994,-0.8660254037844387,483.7071759259259,483.7071759259259
2021-06-01,ProductB,23177,2021,6,1.2246467991473532e-16,-1.0,4570.665509259259,4570.665509259259
2021-07-01,ProductB,28984,2021,7,-0.4999999999999997,-0.8660254037844388,5639.012731481482,5639.012731481482
2021-08-01,ProductB,16063,2021,8,-0.8660254037844385,-0.5000000000000004,2127.16550925926,2127.16550925926
2021-09-01,ProductB,6561,2021,9,-1.0,-1.8369701987210297e-16,-3342.4386574074074,-3342.4386574074074
2021-10-01,ProductB,10641,2021,10,-0.8660254037844386,0.5000000000000001,-1690.188657407407,-1690.188657407407
2021-11-01,ProductB,10847,2021,11,-0.5000000000000004,0.8660254037844384,-1384.1261574074074,-1384.1261574074074
2021-12-01,ProductB,12522,2021,12,-2.4492935982947064e-16,1.0,1655.0405092592587,1655.0405092592587
2022-01-01,ProductB,5412,2022,1,0.49999999999999994,0.8660254037844387,-2918.792824074074,-2918.792824074074
2022-02-01,ProductB,3958,2022,2,0.8660254037844386,0.5000000000000001,708.4571759259267,708.4571759259267
2022-03-01,ProductB,4863,2022,3,1.0,6.123233995736766e-17,-2435.4594907407404,-2435.4594907407404
2022-04-01,ProductB,5829,2022,4,0.8660254037844387,-0.4999999999999998,-3413.042824074075,-3413.042824074075
2022-05-01,ProductB,6706,2022,5,0.49999999999999994,-0.8660254037844387,483.7071759259259,483.7071759259259
2022-06-01,ProductB,7283,2022,6,1.2246467991473532e-16,-1.0,4570.665509259259,4570.665509259259
2022-07-01,ProductB,5712,2022,7,-0.4999999999999997,-0.8660254037844388,5639.012731481482,5639.012731481482
2022-08-01,ProductB,4253,2022,8,-0.8660254037844385,-0.5000000000000004,2127.16550925926,2127.16550925926
2022-09-01,ProductB,2495,2022,9,-1.0,-1.8369701987210297e-16,-3342.4386574074074,-3342.4386574074074
2022-10-01,ProductB,2565,2022,10,-0.8660254037844386,0.5000000000000001,-1690.188657407407,-1690.188657407407
2022-11-01,ProductB,4572,2022,11,-0.5000000000000004,0.8660254037844384,-1384.1261574074074,-1384.1261574074074
2022-12-01,ProductB,3362,2022,12,-2.4492935982947064e-16,1.0,1655.0405092592587,1655.0405092592587
2023-01-01,ProductB,919,2023,1,0.49999999999999994,0.8660254037844387,-2918.792824074074,-2918.792824074074
