Month,Product,Sales,year,month,month_sin,month_cos,sales_lag_1,sales_lag_2,sales_lag_3,rolling_mean_3,rolling_std_3,rolling_mean_6,rolling_std_6,ewm_alpha_0.3,ewm_alpha_0.5,seasonal,seasonal_Product
2019-08-01,ProductB,234,2019,8,-0.8660254037844385,-0.5000000000000004,,,,,,,,234.0,234.0,2127.16550925926,2127.16550925926
2019-09-01,ProductB,112,2019,9,-1.0,-1.8369701987210297e-16,234.0,,,,,,,162.23529411764704,152.66666666666666,-3342.4386574074074,-3342.4386574074074
2019-10-01,ProductB,178,2019,10,-0.8660254037844386,0.5000000000000001,112.0,234.0,,174.66666666666666,61.068267810159256,,,169.43378995433787,167.14285714285714,-1690.188657407407,-1690.188657407407
2019-11-01,ProductB,173,2019,11,-0.5000000000000004,0.8660254037844384,178.0,112.0,234.0,154.33333333333334,36.7468819538928,,,170.84168969601262,170.26666666666668,-1384.1261574074074,-1384.1261574074074
2019-12-01,ProductB,126,2019,12,-2.4492935982947064e-16,1.0,173.0,178.0,112.0,159.0,28.68797657556209,,,154.67145072301756,147.41935483870967,1655.0405092592587,1655.0405092592587
2020-01-01,ProductB,28,2020,1,0.49999999999999994,0.8660254037844387,126.0,173.0,178.0,109.0,73.97972695272671,141.83333333333334,70.53060801288095,111.603062726738,86.76190476190476,-2918.792824074074,-2918.792824074074
2020-02-01,ProductB,56,2020,2,0.8660254037844386,0.5000000000000001,28.0,126.0,173.0,70.0,50.47771785649584,112.16666666666667,60.76978415846698,93.42511145641504,71.25984251968504,708.4571759259267,708.4571759259267
2020-03-01,ProductB,168,2020,3,1.0,6.123233995736766e-17,56.0,28.0,126.0,84.0,74.08103670980853,121.5,64.8991525368398,117.1662048063378,119.81960784313725,-2435.4594907407404,-2435.4594907407404
2020-04-01,ProductB,576,2020,4,0.8660254037844387,-0.4999999999999998,168.0,56.0,28.0,266.6666666666667,273.68107960422356,187.83333333333334,199.0159960070212,260.6045999924891,348.35616438356163,-3413.042824074075,-3413.042824074075
2020-05-01,ProductB,1786,2020,5,0.49999999999999994,-0.8660254037844387,576.0,168.0,56.0,843.3333333333334,841.475687903895,456.6666666666667,680.9295607231828,731.5255718738947,1067.880742913001,483.7071759259259,483.7071759259259
2020-06-01,ProductB,3067,2020,6,1.2246467991473532e-16,-1.0,1786.0,576.0,168.0,1809.6666666666667,1245.668629023519,946.8333333333334,1231.3606160124932,1446.3013529841057,2067.9286761113826,4570.665509259259,4570.665509259259
